date,type,registration,operator,fatalities,location,damage,detail_url,aircraft_category,type_code,time,msn,engine_model,fatalities_detail,other_fatalities,category,phase,nature,departure_airport,destination_airport,narrative
25 Feb 1993,ATR 72-202,,LOT Polskie Linie Lotnicze,0,Rzeszów-Jasionka Airport (RZE),non,https://aviation-safety.net/wikibase/325322,ATR 72 (all series),_AT72,,,Pratt & Whitney Canada PW124B,Fatalities: 0 / Occupants: 30,0,Unlawful Interference,Standing,Passenger - Scheduled,RzeszÃ³w-Jasionka Airport (RZE/EPRZ),Warszawa-Okecie Airport (WAW/EPWA),"While awaiting takeoff from RzeszÃ³w Airport (RZE), LOT Flight 702 to Warsaw was boarded by an individual who tried to enter the flight deck and threatened to detonate a hand grenade. There were 30 passengers and crew on board the ATR-72 aircraft. The individual was shot in the abdomen by Polish security force members and was hospitalized. No hand grenades or other weapons were found, and there were no other injuries."
8 Mar 1993,ATR 72-202,N248AT,Simmons Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non,https://aviation-safety.net/wikibase/362339,ATR 72 (all series),_AT72,15:37 LT,248,P&W Canada PW124B,Fatalities: 0 / Occupants: 4,0,Serious incident,Initial climb,Unknown,"Chicago-O'Hare International Airport, IL (ORD/KORD)","Milwaukee, WI (KMKE)","THE LOCAL CONTROLLER CLEARED SIMMONS FLIGHT 4298 FOR TAKEOFF ON RUNWAY 32L T-1 WITH INSTRUCTIONS TO FLY THE RUNWAY HEADING AFTER TAKEOFF. SHE THEN CLEARED AMERICAN 1106 FOR TAKEOFF ON RUNWAY 32L WITH INSTRUCTIONS TO TURN TO A 010 DEGREE HEADING. SIMMONS FLIGHT 4298 WAS THEN CLEARED TO A HEADING OF 360 DEGREES. THIS TURN VIOLATED THE MINIMUM DIVERGENCE HEADING SEPARATION STANDARDS OF 15 DEGREES FOR AIRPLANES TAKING OFF ON THE SAME RUNWAY AS SET FORTH IN ATC HANDBOOK 7110-65G.

Probable Cause: the local controller's failure to issue a proper heading clearance which resulted in a loss of radar separation between two departing airplanes.


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	CHI93IA125
Status:	Investigation completed
Duration:	1 year and 8 months
Download report:	 Final report"
4 Jun 1993,ATR 72-212,N345AT,Simmons Airlines,0,"Chicago, IL",non,https://aviation-safety.net/wikibase/361951,ATR 72 (all series),_AT72,19:40 LT,345,P&W Canada PW127,Fatalities: 0 / Occupants: 68,0,Accident,En route,Unknown,,"Champaign, IL (KCMI)","APPROXIMATELY FIVE MINUTES AND TEN MILES SOUTHEAST OF O'HARE INTERNATIONAL AIRPORT, AMERICAN EAGLE FLIGHT 4126 ENCOUNTERED 'SEVERE VERTICAL TURBULENCE DURING CLIMB.' A FLIGHT ATTENDANT SUSTAINED A FRACTURED ANKLE DURING A FALL. THE FLIGHT DEPARTING CHICAGO O'HARE EN ROUTE TO CHAMPAIGN, ILLINOIS WAS ABORTED, AND THE CAPTAIN MADE AN UNEVENTFUL LANDING AT O'HARE AIRPORT. THE AIRCRAFT WAS UNDAMAGED.

Probable Cause: THE PILOT IN COMMAND'S IMPROPER IN-FLIGHT PLANNING/DECISION.


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	CHI93LA192
Status:	Investigation completed
Duration:	5 months
Download report:	 Final report"
4 Mar 1994,ATR 72-202,N253AT,Simmons Airlines,0,"Dfw  Airport, TX",min,https://aviation-safety.net/wikibase/360771,ATR 72 (all series),_AT72,16:50 LT,253,P&W Canada PW127,Fatalities: 0 / Occupants: 56,0,Serious incident,Taxi,Unknown,"Shreveport, LA (KSHV)",(KDFW),"WHILE TAXIING, THE NUMBER ONE ENGINE FIRE WARNING LIGHT ILLUMINATED. THE PILOT AND CO-PILOT INITIATED AN ENGINE SHUTDOWN AND COMPLETED APPROPRIATE EMERGENCY PROCEDURES. AN EXAMINATION OF THE AIRCRAFT REVEALED THAT THE NO. 1 ENGINE MANIFOLD WAS BLOCKED WITH COKING DEPOSITS RESULTING IN FUEL SPILL AND SUBSEQUENT FIRE WITHIN THE NACELLE.

Probable Cause: THE BLOCKED NUMER 1 ENGINE DRAIN MANIFOLD.


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	FTW94IA099
Status:	Investigation completed
Duration:	11 months
Download report:	 Final report"
17 Jun 1994,ATR 72-212,N632AS,Atlantic Southeast Airlines - ASA,0,"Caddo, OK",min,https://aviation-safety.net/wikibase/360306,ATR 72 (all series),_AT72,12:55 LT,338,P&W Canada PW127,Fatalities: 0 / Occupants: 37,0,Serious incident,En route,Unknown,"Tulsa, OK (KTUL)","Dfw Airport, TX (DFW","THE FIRE WARNING LIGHT FOR THE LEFT ENGINE ILLUMINATED WHILE IN CRUISE FLIGHT AT 16,000 FEET. THE CREW SECURED THE ENGINE AND A FIRE BOTTLE WAS DISCHARGED. THE CREW REQUESTED AND RECEIVED PRIORITY HANDLING FROM ATC AND LANDED WITHOUT FURTHER INCIDENT. DAMAGE TO THE AIRPLANE WAS CONFINED TO FIRE DAMAGE TO THE BOTTOM OF THE ENGINE COWLING. THE FIRE WAS THE RESULT OF A DETERIORATED O-RING ON THE NUMBER SIX FUEL NOZZLE DRAIN COLLECTOR TUBE.

Probable Cause: THE FUEL NOZZLE DRAIN LEAK DUE TO A DEFECTIVE O-RING.


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	FTW94IA198
Status:	Investigation completed
Duration:	8 months
Download report:	 Final report"
31 Oct 1994,ATR 72-212,N401AM,"American Eagle, opb Simmons Airlines",68,"near Roselawn, IN",w/o,https://aviation-safety.net/wikibase/324871,ATR 72 (all series),_AT72,15:59,401,P&W Canada PW127,Fatalities: 68 / Occupants: 68,0,Accident,Approach,Passenger - Scheduled,"Indianapolis International Airport, IN (IND/KIND)","Chicago-O'Hare International Airport, IL (ORD/KORD)","American Eagle flight 4184, an ATR 72-212, crashed near Roselawn, Indiana, USA, following a loss of control in icing conditions while on approach to Chicago-O'Hare Airport, IL, USA, killing all 68 occupants.

Flight 4184 was scheduled to depart the gate in Indianapolis at 14:10; however, due to a change in the traffic flow because of deteriorating weather conditions at destination Chicago-O'Hare, the flight left the gate at 14:14 and was held on the ground for 42 minutes before receiving an IFR clearance to O'Hare. At 14:55, the controller cleared flight 4184 for takeoff. The aircraft climbed to an enroute altitude of 16,300 feet. At 15:13, flight 4184 began the descent to 10,000 feet. During the descent, the FDR recorded the activation of the Level III airframe de-icing system. At 15:18, shortly after flight 4184 leveled off at 10,000 feet, the crew received a clearance to enter a holding pattern near the LUCIT intersection and they were told to expect further clearance at 15:45, which was revised to 16:00 at 15:38. Three minutes later the Level III airframe de-icing system activated again. At 15:56, the controller contacted flight 4184 and instructed the flight crew to descend to 8,000 feet. The engine power was reduced to the flight idle position, the propeller speed was 86 percent, and the autopilot remained engaged in the vertical speed (VS) and heading select (HDG SEL) modes. At 15:57:21, as the airplane was descending in a 15-degree right-wing-down attitude at 186 KIAS, the sound of the flap overspeed warning was recorded on the CVR. The crew selected flaps from 15 to zero degrees and the AOA and pitch attitude began to increase. At 15:57:33, as the airplane was descending through 9,130 feet, the AOA increased through 5 degrees, and the ailerons began deflecting to a right-wing-down position. About 1/2 second later, the ailerons rapidly deflected to 13:43 degrees right-wing-down, the autopilot disconnected. The airplane rolled rapidly to the right, and the pitch attitude and AOA began to decrease. Within several seconds of the initial aileron and roll excursion, the AOA decreased through 3.5 degrees, the ailerons moved to a nearly neutral position, and the airplane stopped rolling at 77 degrees right-wing-down. The airplane then began to roll to the left toward a wings-level attitude, the elevator began moving in a nose-up direction, the AOA began increasing, and the pitch attitude stopped at approximately 15 degrees nose down. At 15:57:38, as the airplane rolled back to the left through 59 degrees right-wing-down (towards wings level), the AOA increased again through 5 degrees and the ailerons again deflected rapidly to a right-wing-down position. The captain's nose-up control column force exceeded 22 pounds, and the airplane rolled rapidly to the right, at a rate in excess of 50 degrees per second. The captain's nose-up control column force decreased below 22 pounds as the airplane rolled through 120 degrees, and the first officer's nose-up control column force exceeded 22 pounds just after the airplane rolled through the inverted position (180 degrees). Nose-up elevator inputs were indicated on the FDR throughout the roll, and the AOA increased when nose-up elevator increased. At 15:57:45 the airplane rolled through the wings-level attitude (completion of first full roll). The nose-up elevator and AOA then decreased rapidly, the ailerons immediately deflected to 6 degrees left-wing-down and then stabilized at about 1 degree right-wing-down, and the airplane stopped rolling at 144 degrees right wing down. At 15:57:48, as the airplane began rolling left, back towards wings level, the airspeed increased through 260 knots, the pitch attitude decreased through 60 degrees nose down, normal acceleration fluctuated between 2.0 and 2.5 G, and the altitude decreased through 6,000 feet. At 15:57:51, as the roll attitude passed through 90 degrees, continuing towards wings level, the captain applied more than 22 pounds of nose-up control column force, the elevator position increased to about 3 degrees nose up, pitch attitude stopped decreasing at 73 degrees nose down, the airspeed increased through 300 KIAS, normal acceleration remained above 2 G, and the altitude decreased through 4,900 feet. At 15:57:53, as the captain's nose-up control column force decreased below 22 pounds, the first officer's nose-up control column force again exceeded 22 pounds and the captain made the statement ""nice and easy."" At 15:57:55, the normal acceleration increased to over 3.0 G. Approximately 1.7 seconds later, as the altitude decreased through 1,700 feet, the elevator position and vertical acceleration began to increase rapidly. The last recorded data on the FDR occurred at an altitude of 1,682 feet (vertical speed of approximately 500 feet per second), and indicated that the airplane was at an airspeed of 375 KIAS, a pitch attitude of 38 degrees nose down with 5 degrees of nose-up elevator, and was experiencing a vertical acceleration of 3.6 G. The airplane impacted a wet soybean field partially inverted, in a nose down, left-wing-low attitude.
Based on petitions filed for reconsideration of the probable cause, the NTSB on September 2002 updated its findings.

PROBABLE CAUSE: ""The loss of control, attributed to a sudden and unexpected aileron hinge moment reversal, that occurred after a ridge of ice accreted beyond the deice boots while the airplane was in a holding pattern during which it intermittently encountered supercooled cloud and drizzle/rain drops, the size and water content of which exceeded those described in the icing certification envelope. The airplane was susceptible to this loss of control, and the crew was unable to recover.
Contributing to the accident were
1) the French Directorate General for Civil Aviation's (DGAC's) inadequate oversight of the ATR 42 and 72, and its failure to take the necessary corrective action to ensure continued airworthiness in icing conditions;
2) the DGAC's failure to provide the FAA with timely airworthiness information developed from previous ATR incidents and accidents in icing conditions,
3) the Federal Aviation Administration's (FAA's) failure to ensure that aircraft icing certification requirements, operational requirements for flight into icing conditions, and FAA published aircraft icing information adequately accounted for the hazards that can result from flight in freezing rain,
4) the FAA's inadequate oversight of the ATR 42 and 72 to ensure continued airworthiness in icing conditions; and
5) ATR's inadequate response to the continued occurrence of ATR 42 icing/roll upsets which, in conjunction with information learned about aileron control difficulties during the certification and development of the ATR 42 and 72, should have prompted additional research, and the creation of updated airplane flight manuals, flightcrew operating manuals and training programs related to operation of the ATR 42 and 72 in such icing conditions. ""


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	NTSB/AAR-96-01
Status:	Investigation completed
Duration:	1 year and 8 months
Download report:	 Final report"
8 Dec 1994,ATR 72-202,F-OHOC,Air Gabon,0,Oyem Airport (OYE),w/o,https://aviation-safety.net/wikibase/324836,ATR 72 (all series),_AT72,10:40,318,Pratt & Whitney Canada PW124B,Fatalities: 0 / Occupants: 21,0,Accident,Landing,Passenger - Scheduled,Bitam Airport (BMM/FOOB),Oyem Airport (OYE/FOGO),"The ATR-72 touched down 500 m down runway 21 following a visual approach. The aircraft began to veer to the side on application of reverse thrust. The pilot cancelled reverse thrust, attempted a go-around but the plane ran off the side, crossing a ditch and striking trees."
12 Dec 1994,ATR 72-212,N633AS,Atlantic Southeast Airlines - ASA,0,"Dfw Airport, TX",min,https://aviation-safety.net/wikibase/359496,ATR 72 (all series),_AT72,11:00 LT,344,P&W PW127,Fatalities: 0 / Occupants: 38,0,Serious incident,Taxi,Unknown,", TX (KDFW)","Oklahoma City, OK","THE NUMBER ONE ENGINE FIRE WARNING LIGHT ILLUMINATED WHILE TAXIING BACK TO THE GATE AFTER THE #1 GENERATOR FAULT LIGHT HAD ILLUMINATED WHILE HOLDING SHORT FOR DEPARTURE. SMOKE WAS OBSERVED COMING FROM THE ENGINE AND THE CREW DISCHARGED BOTH ONBOARD FIRE BOTTLES AND SECURED THE ENGINE. AN EMERGENCY EVACUATION WAS ORDERED BY THE CREW ON THE ACTIVE TAXIWAY VIA THE RIGHT AFT SERVICE DOOR. THERE WERE NO REPORTED INJURIES DURING THE EVACUATION. THE ENGINE COWLING AND SEVERAL ACCESSORIES SUSTAINED FIRE DAMAGE. THE FIRE WAS THE RESULT OF THE INTERNAL FAILURE OF THE GENERATOR DUE TO FAILURE OF A GENERATOR BEARING.

Probable Cause: FIRE DUE TO THE INTERNAL FAILURE OF THE NUMBER ONE DC STARTER-GENERATOR.


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	FTW95IA064
Status:	Investigation completed
Duration:	4 months
Download report:	 Final report"
17 Jan 1995,ATR 72-212,N408AT,Simmons Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",min,https://aviation-safety.net/wikibase/359413,ATR 72 (all series),_AT72,08:10 LT,408,P&W Canada PW127,Fatalities: 0 / Occupants: 37,0,Serious incident,Taxi,Unknown,"Lubbock, TX (KLBB)","Dallas/Fort Worth International Airport, TX (DFW/KDFW)","THE CREW EXPERIENCED AN UNCOMMANDED BRAKE APPLICATION TO BOTH TIRES ON THE RIGHT MAIN LANDING GEAR ABOUT FIVE SECONDS AFTER TOUCHDOWN. THE PILOT WAS ABLE TO MAINTAIN DIRECTIONAL CONTROL OF THE AIRPLANE BY USING LEFT RUDDER AND NOSE WHEEL STEERING. WHILE TAXIING TO THE GATE THE HOT BRAKE TEMPERATURE WARNING LIGHT FOR THE RIGHT MAIN LANDING GEAR ILLUMINATED. A FIRE WAS OBSERVED IN THE VICINITY OF THE RIGHT LANDING GEAR AND THE CREW INITIATED AN EMERGENCY EVACUATION ON THE TAXIWAY. NO ANOMALIES WERE FOUND WITH ANY OF THE LANDING GEAR/BRAKE SYSTEM COMPONENTS. THE REASON FOR THE UNCOMMANDED BRAKE APPLICATION COULD NOT BE DETERMINED.

Probable Cause: THE UNCOMMANDED ACTIVATION OF THE BRAKE SYSTEM ON THE RIGHT MAIN LANDING GEAR FOR UNDETERMINED REASON.


Accident investigation:
	
 	 
Investigating agency: 	NTSB
Report number: 	FTW95IA096
Status:	Investigation completed
Duration:	8 months
Download report:	 Final report"
30 Jan 1995,ATR 72-202,B-22717,TransAsia Airways,4,20 km SSE of Taipei-Songshan Airport (TSA),w/o,https://aviation-safety.net/wikibase/324782,ATR 72 (all series),_AT72,19:43,435,P&W Canada PW124B,Fatalities: 4 / Occupants: 4,0,Accident,Approach,Ferry/positioning,Magong Airport (MZG/RCQC),Taipei-Songshan Airport (TSA/RCSS),"TransAsia Airways flight TNA510A, an ATR 72-202, impacted a hillside during the approach to Taipei-Songshan Airport (TSA), killing all four on board.
After a flight from Penghu Island the ATR-72 the aircraft was cleared by Taipei Tower for a visual approach to runway 10.
The aircraft descended until it impacted a wooded hillside at an altitude of 300 m. At that point during the approach the aircraft should have been at 640-770 m.

Causes of the Incident
The investigation team identified the following factors as a combination of circumstances leading to the incident:
- Poor coordination between the captain and the first officer.
- During the Lunar New Year holiday period, the flight crew engaged in casual conversation without passengers onboard, gradually losing their situational awareness of the environment.
- The flight crew may not have maintained adequate situational awareness during the flight, failing to recognize proximity to the ground.
- The ILS (Instrument Landing System) received false signals, but the flight crew did not use other navigational aids for verification and distinction."
